Feature,Importance,Normalized_importance,Cumulative Importance
F080301A,4,0.00012802458071949814,0.9959352195621559
F040804B,4,0.00012802458071949814,0.9960632441428754
F090302B,4,0.00012802458071949814,0.9961912687235949
F091802C,4,0.00012802458071949814,0.9963192933043143
F053003B,4,0.00012802458071949814,0.9964473178850338
F061201C,4,0.00012802458071949814,0.9965753424657533
F090602C,4,0.00012802458071949814,0.9967033670464728
F060301C,4,0.00012802458071949814,0.9968313916271923
F092101C,3,9.601843553962361e-05,0.9969274100627319
F041404B,3,9.601843553962361e-05,0.9970234284982715
F090301B,3,9.601843553962361e-05,0.9971194469338112
F091902C,3,9.601843553962361e-05,0.9972154653693508
F050801C,3,9.601843553962361e-05,0.9973114838048904
F051801C,3,9.601843553962361e-05,0.9974075022404301
F080302A,3,9.601843553962361e-05,0.9975035206759697
F050203B,3,9.601843553962361e-05,0.9975995391115093
F040904B,3,9.601843553962361e-05,0.997695557547049
F092302C,3,9.601843553962361e-05,0.9977915759825886
F092602C,3,9.601843553962361e-05,0.9978875944181282
F050101B,3,9.601843553962361e-05,0.9979836128536679
F052101C,3,9.601843553962361e-05,0.9980796312892075
F092002C,2,6.401229035974907e-05,0.9981436435795673
F090104C,2,6.401229035974907e-05,0.9982076558699271
F041204B,2,6.401229035974907e-05,0.9982716681602869
F041504B,2,6.401229035974907e-05,0.9983356804506467
F081603B,2,6.401229035974907e-05,0.9983996927410065
F082701A,2,6.401229035974907e-05,0.9984637050313663
F040805C,2,6.401229035974907e-05,0.9985277173217261
F020108,2,6.401229035974907e-05,0.9985917296120859
F090902C,2,6.401229035974907e-05,0.9986557419024457
F090601C,2,6.401229035974907e-05,0.9987197541928055
F050204C,2,6.401229035974907e-05,0.9987837664831652
F041704B,2,6.401229035974907e-05,0.998847778773525
F090901B,2,6.401229035974907e-05,0.9989117910638848
F051401C,2,6.401229035974907e-05,0.9989758033542446
F060101C,2,6.401229035974907e-05,0.9990398156446044
F091801C,2,6.401229035974907e-05,0.9991038279349642
F100602B,2,6.401229035974907e-05,0.999167840225324
F060901C,2,6.401229035974907e-05,0.9992318525156838
F092001C,2,6.401229035974907e-05,0.9992958648060436
F092102C,2,6.401229035974907e-05,0.9993598770964034
